"What are the allowed file formats and size limits for uploading MRP supporting documents?
","The allowed file formats for uploading MRP supporting documents are PDF, DOC, DOCX, XLS, XLSX, and JPEG. The maximum file size allowed is 10 MB. Please ensure that your files are in the required format and do not exceed the specified size limit."
"My MRP supporting document was rejected. What are some common reasons for document rejection that I should check for?
","There are several reasons why your MRP supporting document may be rejected on GeM. Here are some common reasons:

1. Incomplete Information: Ensure you provide all the necessary details specified in the document guidelines. Missing or incomplete information can cause a document to be rejected.

2. Incorrect Information: If the data provided are not correct or are inconsistent with other submitted documents, it may lead to rejection.

3. Poor Quality of Documents: The document uploaded may not be clear or legible. Make sure to upload clear, high-resolution documents.

4. Non-compliance with Format: The document might not be in the required format or might have been tampered with, causing rejection.

5. Discrepancy in Prices: If there is a discrepancy between the price mentioned in the MRP document and the selling price on GeM, it can lead to rejection.

6. Outdated Document: The document supplied could be outdated, hence, not considered valid.

Please ensure that all the documents comply with the guidelines stipulated by GeM. If you still encounter issues, consider reaching out to GeM support for further assistance."
"What specific details should be visible in the photo of the product packaging I upload as an MRP supporting document (e.g. MRP, quantity, etc.)?
","As a seller on the Government e-Marketplace (GeM), the photo of your product packaging that you upload as a Maximum Retail Price (MRP) supporting document should clearly display the following elements:

1. Product Name: The name of the product should be clearly visible to ensure the right identification of the product.
   
2. MRP: The Maximum Retail Price of the product should be clearly visible to ensure price transparency.

3. Quantity: The quantity of the product, weight/volume, or number of units in the package should be clearly displayed.

4. Product Barcode: If available, the product's barcode should be visible.

5. Manufacturing / Import Details: Details related to manufacturing or import, such as producer name, country of origin or import, etc.

6. Date of manufacturing and expiration: This is not mandatory for all products, but for products like food items, medicines, etc., it is very crucial to have the date of manufacture and the expiration date clear on the packaging. 

When uploading a photo of the MRP supporting document, ensure that all these details are clearly visible and legible."
"How recent should the GST invoices, purchase orders, or government order copies showing MRP details be? Is there a time limit?
","Yes, there is a time limit. GST invoices, purchase orders, or government order copies showing MRP details should be no older than one year from the date of becoming a seller on GeM. These documents are necessary for creating a product catalog on the GeM platform."
"What all information should typically be present in an MRP declaration on OEM letterhead (e.g. MRP, quantity, model number etc.)?
","The MRP declaration on OEM (Original Equipment Manufacturer) letterhead is a formal notification that provides relevant product details to enhance transparency and credibility. It should typically include:

1. MRP (Maximum Retail Price): The price at which the product is available to the end consumer, inclusive of all taxes.
2. Model Number: The exact model number as provided by the manufacturer.
3. SKU (Stock Keeping Unit): The SKU of the specific model should be clearly mentioned, if applicable.
4. Quantity: The precise quantity of the product(s).
5. Description: A detailed description of the product including its specifications and features. 
6. Date of Declaration: Date on which the declaration has been made.
7. OEM's Name, Address, and Contact Information: The letter must carry the complete contact details of the OEM including its name, address, and phone number/email.
8. Signature and Stamp of the Authorizing Person: The MRP declaration should be duly authorized and stamped by the concerned official of the OEM to validate its authenticity. 

Please ensure that the declaration is clear, accurate, and verifiable. Any discrepancies might lead to issues in the registration or selling process on GeM."
"Can I upload more than one MRP supporting document for a product? Is there a limit?
","Yes, sellers can upload more than one MRP (Maximum Retail Price) supporting document for a product on the Government e-Marketplace. However, ensure that all the documents provided are accurate and reliable. There isn't a specific limit to the number of documents you can upload, but it's advisable to only include the most relevant and necessary documents to support your product's MRP."
"What are the mandatory details that must be present in the product catalogue documents like spec sheet, data sheet, BIS certificate etc.?
","The specific mandatory details can vary depending on the product, but generally, sellers should be prepared with the following:

1. The complete product description: This should include all relevant specifications, features, advantages, etc.

2. BIS Certificate: This is compulsory for all products falling under mandatory certification as per the Bureau of Indian Standards.

3. Product Category: The category of product under which it falls in the GeM's classification.

4. OEM Name and Brand Name: Details of the Original Equipment Manufacturer (OEM) and the brand name.

5. Country of Origin: The country in which the product was manufactured.

6. Model: Specific model number or name of the product.

7. Product Images: Clear and detailed images of the product from different perspectives.

8. Compliance Details: Details about the product’s compliance with relevant safety, environmental, and other regulations.

9. Price of the Product: The detailed price per unit including all taxes.

10. Warranty/Guarantee Details: Warranty or guarantee terms for the product.

11. Delivery Period: The estimated time it will take for the ordered product to reach the buyer.

Remember, providing inaccurate or incomplete details can lead to legal problems and potentially result in your GeM account getting suspended, so ensure all the information you provide is accurate and complete.

For specific requirements pertaining to your product category, you should refer to the product upload guidelines on the GeM portal or contact GeM support for further assistance."
"My uploaded catalogue document was rejected. What might be some reasons for this?
","There could be numerous reasons why your uploaded catalogue document on GeM was rejected, including:

1. Incomplete Information: Ensure that all necessary fields in the catalogue are filled correctly.
2. Invalid Documentation: The documents uploaded may not be valid, legible, or relevant. You must upload clear documents as required.
3. Incorrect Format: The document might not have been of an accepted format. For example, accepted formats usually include .pdf, .jpeg, .jpg, .png files.
4. Non-compliance with GeM Guidelines: The catalogue may not comply with specific rules and regulations outlined by GeM.
5. Incorrect or Incomplete Product Description: Make sure your product or service description matches the category you are trying to list it under and fulfills all requisite information.

It's recommended to contact GeM customer support for specifics about your catalogue rejection, as they can provide direct feedback and necessary steps for re-listing."
"If one of my uploaded documents gets rejected, can I re-upload or edit the document after making changes?
","Yes, if one of your uploaded documents gets rejected, you can definitely edit or re-upload the document after making the necessary corrections. Make sure that the updated document meets all the required criteria to avoid further rejections."
"Where can I view the notifications from the admin regarding rejection reasons for my uploaded documents?
","You can view any notifications, including admin rejections, in your account dashboard. Once you log into your GeM seller account, look for an area that aggregates notifications or messages. Typically, any rejections or issues with documents will be detailed here, with reasons and potentially with steps for rectification. If you're having trouble finding your notifications, please refer to the specific user guide or manual provided by GeM or reach out to GeM support for assistance."
